image_id,labeler1,labeler2,labeler3,majority_label
1.jpg,Straight,Straight,Straight,Straight
2.jpg,Straight,Straight,Straight,Straight
3.jpg,Rejected,Rejected,Straight,Rejected
4.jpg,Straight,Straight,Straight,Straight
5.jpg,Straight,Straight,Straight,Straight
6.jpg,Straight,Straight,Straight,Straight
7.jpg,Straight,Straight,Straight,Straight
8.jpg,Rejected,Rejected,Straight,Rejected
9.jpg,Leaned,Straight,Straight,Straight
10.jpg,Rejected,Rejected,Rejected,Rejected
11.jpg,Straight,Straight,Straight,Straight
12.jpg,Rejected,Leaned,Leaned,Leaned
13.jpg,Straight,Straight,Straight,Straight
14.jpg,Straight,Straight,Unlabeled,Straight
15.jpg,Straight,Straight,Straight,Straight
16.jpg,Straight,Straight,Straight,Straight
17.jpg,Rejected,Straight,Straight,Straight
18.jpg,Rejected,Straight,Straight,Straight
19.jpg,Leaned,Leaned,Leaned,Leaned
20.jpg,Rejected,Rejected,Straight,Rejected
21.jpg,Straight,Straight,Straight,Straight
22.jpg,Straight,Straight,Straight,Straight
23.jpg,Rejected,Rejected,Leaned,Rejected
24.jpg,Rejected,Leaned,Straight,
25.jpg,Straight,Straight,Straight,Straight
26.jpg,Rejected,Straight,Straight,Straight
27.jpg,Straight,Straight,Straight,Straight
28.jpg,Leaned,Leaned,Straight,Leaned
29.jpg,Leaned,Leaned,Straight,Leaned
30.jpg,Straight,Straight,Straight,Straight
31.jpg,Leaned,Leaned,Leaned,Leaned
32.jpg,Straight,Straight,Straight,Straight
33.jpg,,Leaned,Straight,
34.jpg,Rejected,Rejected,Rejected,Rejected
35.jpg,Rejected,Straight,Straight,Straight
36.jpg,Leaned,Leaned,Straight,Leaned
37.jpg,Rejected,Rejected,Leaned,Rejected
38.jpg,Straight,Leaned,Straight,Straight
39.jpg,Straight,Straight,Straight,Straight
40.jpg,Straight,Straight,Straight,Straight
41.jpg,Straight,Straight,Straight,Straight
42.jpg,Straight,Straight,Straight,Straight
43.jpg,Straight,Straight,Straight,Straight
44.jpg,Rejected,Straight,Straight,Straight
